company,requested_region,candidate_url,final_url,status,failure_reason,header_text,observed_region,missing_fields,missing_field_reasons,timestamp
Google,Taipei,"https://www.glassdoor.com/Reviews/Google-Taipei-Reviews-EI_IE9079.0,6_IL.7,13_IC3271041.htm","https://www.glassdoor.com/Reviews/Google-Taipei-Reviews-EI_IE9079.0,6_IL.7,13_IC3271041.htm",success,,Google Taipei reviews,Taipei,,,2026-06-28T14:15:40.751634+00:00
ASUS,"Ciudad de Mexico, MEX",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:15:47.934113+00:00
ASUS,"Fremont, CA","https://www.glassdoor.com/Reviews/ASUS-Fremont-Reviews-EI_IE40093.0,4_IL.5,12_IC1147355.htm","https://www.glassdoor.com/Reviews/ASUS-Fremont-Reviews-EI_IE40093.0,4_IL.5,12_IC1147355.htm",success,,ASUS Fremont reviews,Fremont,,,2026-06-28T14:15:57.379562+00:00
ASUS,"Markham, ON","https://www.glassdoor.com/Reviews/ASUS-Markham-Reviews-EI_IE40093.0,4_IL.5,12_IC2280736.htm","https://www.glassdoor.com/Reviews/ASUS-Markham-Reviews-EI_IE40093.0,4_IL.5,12_IC2280736.htm",success,,ASUS Markham reviews,Markham,,,2026-06-28T14:16:07.295976+00:00
ASUS,"Barcelona, CT","https://www.glassdoor.com/Reviews/ASUS-Barcelona-Reviews-EI_IE40093.0,4_IL.5,14_IC2547194.htm","https://www.glassdoor.com/Reviews/ASUS-Barcelona-Reviews-EI_IE40093.0,4_IL.5,14_IC2547194.htm",success,,ASUS Barcelona reviews,Barcelona,,,2026-06-28T14:16:15.312956+00:00
ASUS,"Budapest, BU","https://www.glassdoor.com/Reviews/ASUS-Budapest-Reviews-EI_IE40093.0,4_IL.5,13_IC3125126.htm","https://www.glassdoor.com/Reviews/ASUS-Budapest-Reviews-EI_IE40093.0,4_IL.5,13_IC3125126.htm",validation_failed,missing_target_metrics,ASUS Budapest reviews,Budapest,"overall,recommend,ceo_approval,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management","career_opportunities:selector_failure,ceo_approval:selector_failure,compensation_benefits:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing,overall:selector_failure,recommend:selector_failure,senior_management:selector_failure,work_life_balance:selector_failure",2026-06-28T14:16:23.220646+00:00
ASUS,"Emmen, DR","https://www.glassdoor.com/Reviews/ASUS-Emmen-Reviews-EI_IE40093.0,4_IL.5,10_IC3060162.htm","https://www.glassdoor.com/Reviews/ASUS-Emmen-Reviews-EI_IE40093.0,4_IL.5,10_IC3060162.htm",success,,ASUS Emmen reviews,Emmen,,,2026-06-28T14:16:31.440520+00:00
ASUS,"Hemel Hempstead, ENG","https://www.glassdoor.com/Reviews/ASUS-Hemel-Hempstead-Reviews-EI_IE40093.0,4_IL.5,20_IC2669775.htm","https://www.glassdoor.com/Reviews/ASUS-Hemel-Hempstead-Reviews-EI_IE40093.0,4_IL.5,20_IC2669775.htm",success,,ASUS Hemel Hempstead reviews,Hemel Hempstead,,,2026-06-28T14:16:40.749807+00:00
ASUS,"Milan, LOM","https://www.glassdoor.com/Reviews/ASUS-Milan-Reviews-EI_IE40093.0,4_IL.5,10_IC2802090.htm","https://www.glassdoor.com/Reviews/ASUS-Milan-Reviews-EI_IE40093.0,4_IL.5,10_IC2802090.htm",success,,ASUS Milan reviews,Milan,,,2026-06-28T14:16:48.289810+00:00
ASUS,"Moravská Ostrava, MO",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:16:48.417607+00:00
ASUS,"Noisy-le-Grand, A8","https://www.glassdoor.com/Reviews/ASUS-Noisy-le-Grand-Reviews-EI_IE40093.0,4_IL.5,19_IC3100822.htm","https://www.glassdoor.com/Reviews/ASUS-Noisy-le-Grand-Reviews-EI_IE40093.0,4_IL.5,19_IC3100822.htm",success,,ASUS Noisy-le-Grand reviews,Noisy-le-Grand,,,2026-06-28T14:16:56.626947+00:00
ASUS,"Ratingen, NW","https://www.glassdoor.com/Reviews/ASUS-Ratingen-Reviews-EI_IE40093.0,4_IL.5,13_IC2584004.htm","https://www.glassdoor.com/Reviews/ASUS-Ratingen-Reviews-EI_IE40093.0,4_IL.5,13_IC2584004.htm",success,,ASUS Ratingen reviews,Ratingen,,,2026-06-28T14:17:09.575054+00:00
ASUS,"Üsküdar, T34",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:17:09.688227+00:00
ASUS,"Warsaw, MZ",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:17:09.815556+00:00
ASUS,"Bangkok, 10","https://www.glassdoor.com/Reviews/ASUS-Bangkok-Reviews-EI_IE40093.0,4_IL.5,12_IC3179725.htm","https://www.glassdoor.com/Reviews/ASUS-Bangkok-Reviews-EI_IE40093.0,4_IL.5,12_IC3179725.htm",success,,ASUS Bangkok reviews,Bangkok,,,2026-06-28T14:17:17.577816+00:00
ASUS,"Dubai, DU","https://www.glassdoor.com/Reviews/ASUS-Dubai-Reviews-EI_IE40093.0,4_IL.5,10_IC2204498.htm","https://www.glassdoor.com/Reviews/ASUS-Dubai-Reviews-EI_IE40093.0,4_IL.5,10_IC2204498.htm",success,,ASUS Dubai reviews,Dubai,,,2026-06-28T14:17:25.923326+00:00
ASUS,"Jakarta, JK","https://www.glassdoor.com/Reviews/ASUS-Jakarta-Reviews-EI_IE40093.0,4_IL.5,12_IC2709872.htm","https://www.glassdoor.com/Reviews/ASUS-Jakarta-Reviews-EI_IE40093.0,4_IL.5,12_IC2709872.htm",success,,ASUS Jakarta reviews,Jakarta,,,2026-06-28T14:17:35.706755+00:00
ASUS,"Kuala Lumpur, 14","https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm","https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm",success,,ASUS Kuala Lumpur reviews,Kuala Lumpur,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:17:44.573928+00:00
ASUS,"Manila, D9","https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm","https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm",success,,ASUS Manila reviews,Manila,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:17:52.727586+00:00
ASUS,"Mumbai, MH","https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm","https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm",success,,ASUS Mumbai reviews,Mumbai,,,2026-06-28T14:18:00.851744+00:00
ASUS,"Seoul, 11","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",success,,ASUS Seoul reviews,Seoul,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:10.155583+00:00
ASUS,Singapore,"https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm","https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm",success,,ASUS Singapore reviews,Singapore,,,2026-06-28T14:18:17.305484+00:00
ASUS,"Taipei, TPQ","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",success,,ASUS Taipei reviews,Taipei,,,2026-06-28T14:18:25.499958+00:00
ASUS,"Tokyo, 40","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",success,,ASUS Tokyo reviews,Tokyo,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:34.354785+00:00
ASUS,"San Isidro, HUC",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:18:34.525895+00:00
ASUS,"Santiago, RM","https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm","https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm",success,,ASUS Santiago reviews,Santiago,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:42.685016+00:00
ASUS,"São Paulo, SP","https://www.glassdoor.com/Reviews/ASUS-São-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm","https://www.glassdoor.com/Reviews/ASUS-S%C3%A3o-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm",success,,ASUS São Paulo reviews,São Paulo,,,2026-06-28T14:18:51.958030+00:00
ASUS,"Sydney, NSW","https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm","https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm",success,,ASUS Sydney reviews,Sydney,,,2026-06-28T14:18:59.797369+00:00
ASUS,"Bellevue, WA","https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm","https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm",success,,ASUS Bellevue reviews,Bellevue,"ceo_approval,diversity_inclusion","ceo_approval:selector_failure,diversity_inclusion:page_missing",2026-06-28T14:19:08.957976+00:00
ASUS,"San Jose, CA","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",success,,ASUS San Jose reviews,San Jose,,,2026-06-28T14:19:22.233534+00:00
ASUS,"Toronto, ON","https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm","https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm",success,,ASUS Toronto reviews,Toronto,"recommend,ceo_approval","ceo_approval:selector_failure,recommend:selector_failure",2026-06-28T14:19:31.213948+00:00
ASUS,"Moscow, 48","https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm","https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm",success,,ASUS Moscow reviews,Moscow,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:19:38.006786+00:00
