company,requested_region,normalized_region,region_source,office_label,office_url,review_url,status,failure_reason,discovery_mode,resolved_at
Google,Taipei,taipei,manual-seed,"Taipei, TPQ","https://www.glassdoor.com/Location/All-ASUS-Taipei-Office-Locations-EI_IE40093.4,8_IL.9,15_IC3271041.htm","https://www.glassdoor.com/Reviews/Google-Taipei-Reviews-EI_IE9079.0,6_IL.7,13_IC3271041.htm",resolved,,pool-location-id,2026-06-28T15:20:30.698501+08:00
ASUS,"Ciudad de Mexico, MEX",ciudad de mexico mex,office-location,"Ciudad de Mexico, MEX","https://www.glassdoor.com/Location/All-ASUS-Ciudad-de-Mexico-Office-Locations-EI_IE40093.4,8_IL.9,25_IC5017436.htm",https://www.glassdoor.com/Reviews/index.htm,resolved,,office-navigation,2026-06-28T15:22:14.599308+08:00
ASUS,"Fremont, CA",fremont ca,office-location,"Fremont, CA","https://www.glassdoor.com/Location/All-ASUS-Fremont-Office-Locations-EI_IE40093.4,8_IL.9,16_IC1147355.htm","https://www.glassdoor.com/Reviews/ASUS-Fremont-Reviews-EI_IE40093.0,4_IL.5,12_IC1147355.htm",resolved,,office-navigation,2026-06-28T15:22:17.454116+08:00
ASUS,"Markham, ON",markham on,office-location,"Markham, ON","https://www.glassdoor.com/Location/All-ASUS-Markham-Office-Locations-EI_IE40093.4,8_IL.9,16_IC2280736.htm","https://www.glassdoor.com/Reviews/ASUS-Markham-Reviews-EI_IE40093.0,4_IL.5,12_IC2280736.htm",resolved,,office-navigation,2026-06-28T15:22:20.828435+08:00
ASUS,"Barcelona, CT",barcelona ct,office-location,"Barcelona, CT","https://www.glassdoor.com/Location/All-ASUS-Barcelona-Office-Locations-EI_IE40093.4,8_IL.9,18_IC2547194.htm","https://www.glassdoor.com/Reviews/ASUS-Barcelona-Reviews-EI_IE40093.0,4_IL.5,14_IC2547194.htm",resolved,,office-navigation,2026-06-28T15:22:24.877394+08:00
ASUS,"Budapest, BU",budapest bu,office-location,"Budapest, BU","https://www.glassdoor.com/Location/All-ASUS-Budapest-Office-Locations-EI_IE40093.4,8_IL.9,17_IC3125126.htm","https://www.glassdoor.com/Reviews/ASUS-Budapest-Reviews-EI_IE40093.0,4_IL.5,13_IC3125126.htm",resolved,,office-navigation,2026-06-28T15:22:28.439118+08:00
ASUS,"Emmen, DR",emmen dr,office-location,"Emmen, DR","https://www.glassdoor.com/Location/All-ASUS-Emmen-Office-Locations-EI_IE40093.4,8_IL.9,14_IC3060162.htm","https://www.glassdoor.com/Reviews/ASUS-Emmen-Reviews-EI_IE40093.0,4_IL.5,10_IC3060162.htm",resolved,,office-navigation,2026-06-28T15:22:31.89237+08:00
ASUS,"Hemel Hempstead, ENG",hemel hempstead eng,office-location,"Hemel Hempstead, ENG","https://www.glassdoor.com/Location/All-ASUS-Hemel-Hempstead-Office-Locations-EI_IE40093.4,8_IL.9,24_IC2669775.htm","https://www.glassdoor.com/Reviews/ASUS-Hemel-Hempstead-Reviews-EI_IE40093.0,4_IL.5,20_IC2669775.htm",resolved,,office-navigation,2026-06-28T15:22:35.115473+08:00
ASUS,"Milan, LOM",milan lom,office-location,"Milan, LOM","https://www.glassdoor.com/Location/All-ASUS-Milan-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2802090.htm","https://www.glassdoor.com/Reviews/ASUS-Milan-Reviews-EI_IE40093.0,4_IL.5,10_IC2802090.htm",resolved,,office-navigation,2026-06-28T15:22:38.402619+08:00
ASUS,"Moravská Ostrava, MO",moravsk ostrava mo,office-location,"Moravská Ostrava, MO","https://www.glassdoor.com/Location/All-ASUS-Moravská-Ostrava-Office-Locations-EI_IE40093.4,8_IL.9,25_IC2288209.htm",https://www.glassdoor.com/Reviews/index.htm,resolved,,office-navigation,2026-06-28T15:22:41.650515+08:00
