company,raw_label,normalized_label,office_url,source,discovered_at
ASUS,"Ciudad de Mexico, MEX",ciudad de mexico mex,"https://www.glassdoor.com/Location/All-ASUS-Ciudad-de-Mexico-Office-Locations-EI_IE40093.4,8_IL.9,25_IC5017436.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Fremont, CA",fremont ca,"https://www.glassdoor.com/Location/All-ASUS-Fremont-Office-Locations-EI_IE40093.4,8_IL.9,16_IC1147355.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Markham, ON",markham on,"https://www.glassdoor.com/Location/All-ASUS-Markham-Office-Locations-EI_IE40093.4,8_IL.9,16_IC2280736.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Barcelona, CT",barcelona ct,"https://www.glassdoor.com/Location/All-ASUS-Barcelona-Office-Locations-EI_IE40093.4,8_IL.9,18_IC2547194.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Budapest, BU",budapest bu,"https://www.glassdoor.com/Location/All-ASUS-Budapest-Office-Locations-EI_IE40093.4,8_IL.9,17_IC3125126.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Emmen, DR",emmen dr,"https://www.glassdoor.com/Location/All-ASUS-Emmen-Office-Locations-EI_IE40093.4,8_IL.9,14_IC3060162.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Hemel Hempstead, ENG",hemel hempstead eng,"https://www.glassdoor.com/Location/All-ASUS-Hemel-Hempstead-Office-Locations-EI_IE40093.4,8_IL.9,24_IC2669775.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Milan, LOM",milan lom,"https://www.glassdoor.com/Location/All-ASUS-Milan-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2802090.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Moravská Ostrava, MO",moravsk ostrava mo,"https://www.glassdoor.com/Location/All-ASUS-Moravská-Ostrava-Office-Locations-EI_IE40093.4,8_IL.9,25_IC2288209.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Noisy-le-Grand, A8",noisy le grand a8,"https://www.glassdoor.com/Location/All-ASUS-Noisy-le-Grand-Office-Locations-EI_IE40093.4,8_IL.9,23_IC3100822.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Ratingen, NW",ratingen nw,"https://www.glassdoor.com/Location/All-ASUS-Ratingen-Office-Locations-EI_IE40093.4,8_IL.9,17_IC2584004.htm",office-location,2026-06-28T06:52:37.792058+00:00
ASUS,"Üsküdar, T34",sk dar t34,"https://www.glassdoor.com/Location/All-ASUS-Üsküdar-Office-Locations-EI_IE40093.4,8_IL.9,16_IC3361446.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Warsaw, MZ",warsaw mz,"https://www.glassdoor.com/Location/All-ASUS-Warsaw-Office-Locations-EI_IE40093.4,8_IL.9,15_IC3094484.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Bangkok, 10",bangkok 10,"https://www.glassdoor.com/Location/All-ASUS-Bangkok-Office-Locations-EI_IE40093.4,8_IL.9,16_IC3179725.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Dubai, DU",dubai du,"https://www.glassdoor.com/Location/All-ASUS-Dubai-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2204498.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Jakarta, JK",jakarta jk,"https://www.glassdoor.com/Location/All-ASUS-Jakarta-Office-Locations-EI_IE40093.4,8_IL.9,16_IC2709872.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Kuala Lumpur, 14",kuala lumpur 14,"https://www.glassdoor.com/Location/All-ASUS-Kuala-Lumpur-Office-Locations-EI_IE40093.4,8_IL.9,21_IC2986682.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Manila, D9",manila d9,"https://www.glassdoor.com/Location/All-ASUS-Manila-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2363570.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Mumbai, MH",mumbai mh,"https://www.glassdoor.com/Location/All-ASUS-Mumbai-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2851180.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Seoul, 11",seoul 11,"https://www.glassdoor.com/Location/All-ASUS-Seoul-Office-Locations-EI_IE40093.4,8_IL.9,14_IC3021489.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,Singapore,singapore,"https://www.glassdoor.com/Location/All-ASUS-Singapore-Office-Locations-EI_IE40093.4,8_IL.9,18_IC3235921.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Taipei, TPQ",taipei tpq,"https://www.glassdoor.com/Location/All-ASUS-Taipei-Office-Locations-EI_IE40093.4,8_IL.9,15_IC3271041.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Tokyo, 40",tokyo 40,"https://www.glassdoor.com/Location/All-ASUS-Tokyo-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2851580.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"San Isidro, HUC",san isidro huc,"https://www.glassdoor.com/Location/All-ASUS-San-Isidro-Office-Locations-EI_IE40093.4,8_IL.9,19_IC4694011.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Santiago, RM",santiago rm,"https://www.glassdoor.com/Location/All-ASUS-Santiago-Office-Locations-EI_IE40093.4,8_IL.9,17_IC2434030.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"São Paulo, SP",s o paulo sp,"https://www.glassdoor.com/Location/All-ASUS-São-Paulo-Office-Locations-EI_IE40093.4,8_IL.9,18_IC2479061.htm",office-location,2026-06-28T06:52:37.792394+00:00
ASUS,"Sydney, NSW",sydney nsw,"https://www.glassdoor.com/Location/All-ASUS-Sydney-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2235932.htm",office-location,2026-06-28T06:52:37.792394+00:00
NVIDIA,"Austin, TX",austin tx,"https://www.glassdoor.com/Location/All-NVIDIA-Austin-Office-Locations-EI_IE7633.4,10_IL.11,17_IC1139761.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Beaverton, OR",beaverton or,"https://www.glassdoor.com/Location/All-NVIDIA-Beaverton-Office-Locations-EI_IE7633.4,10_IL.11,20_IC1151576.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Bellevue, WA",bellevue wa,"https://www.glassdoor.com/Location/All-NVIDIA-Bellevue-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1150442.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Durham, NC",durham nc,"https://www.glassdoor.com/Location/All-NVIDIA-Durham-Office-Locations-EI_IE7633.4,10_IL.11,17_IC1138697.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Hillsboro, OR",hillsboro or,"https://www.glassdoor.com/Location/All-NVIDIA-Hillsboro-Office-Locations-EI_IE7633.4,10_IL.11,20_IC1151603.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Redmond, WA",redmond wa,"https://www.glassdoor.com/Location/All-NVIDIA-Redmond-Office-Locations-EI_IE7633.4,10_IL.11,18_IC1150499.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Saint Louis, MO",saint louis mo,"https://www.glassdoor.com/Location/All-NVIDIA-Saint-Louis-Office-Locations-EI_IE7633.4,10_IL.11,22_IC1131270.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"San Francisco, CA",san francisco ca,"https://www.glassdoor.com/Location/All-NVIDIA-San-Francisco-Office-Locations-EI_IE7633.4,10_IL.11,24_IC1147401.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"San Jose, CA",san jose,"https://www.glassdoor.com/Location/All-NVIDIA-San-Jose-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1147436.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Santa Clara, CA",santa clara ca,"https://www.glassdoor.com/Location/All-NVIDIA-Santa-Clara-Office-Locations-EI_IE7633.4,10_IL.11,22_IC1147439.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Toronto, ON",toronto on,"https://www.glassdoor.com/Location/All-NVIDIA-Toronto-Office-Locations-EI_IE7633.4,10_IL.11,18_IC2281069.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Westford, MA",westford ma,"https://www.glassdoor.com/Location/All-NVIDIA-Westford-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1154720.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Moscow, 48",moscow 48,"https://www.glassdoor.com/Location/All-NVIDIA-Moscow-Office-Locations-EI_IE7633.4,10_IL.11,17_IC3348306.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Munich, BY",munich by,"https://www.glassdoor.com/Location/All-NVIDIA-Munich-Office-Locations-EI_IE7633.4,10_IL.11,17_IC4990924.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Reading, ENG",reading eng,"https://www.glassdoor.com/Location/All-NVIDIA-Reading-Office-Locations-EI_IE7633.4,10_IL.11,18_IC2675152.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Zürich, ZH",z rich zh,"https://www.glassdoor.com/Location/All-NVIDIA-Zürich-Office-Locations-EI_IE7633.4,10_IL.11,17_IC3297851.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Bengaluru, KA",bengaluru ka,"https://www.glassdoor.com/Location/All-NVIDIA-Bengaluru-Office-Locations-EI_IE7633.4,10_IL.11,20_IC2940587.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Hsinchu, TXG",hsinchu txg,"https://www.glassdoor.com/Location/All-NVIDIA-Hsinchu-Office-Locations-EI_IE7633.4,10_IL.11,18_IC4915323.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Mumbai, MH",mumbai mh,"https://www.glassdoor.com/Location/All-NVIDIA-Mumbai-Office-Locations-EI_IE7633.4,10_IL.11,17_IC2851180.htm",office-location,2026-06-28T06:52:41.534266+00:00
NVIDIA,"Pudong, 23",pudong 23,"https://www.glassdoor.com/Location/All-NVIDIA-Pudong-Office-Locations-EI_IE7633.4,10_IL.11,17_IC2415109.htm",office-location,2026-06-28T06:52:41.534266+00:00
