company,requested_region,resolved_region,country,review_url,overall,recommend,ceo_approval,total_reviews,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management,header_text,scraped_at,company_input_source,region_source,validation_status
Google,Taipei,Taipei,Taiwan,"https://www.glassdoor.com/Reviews/Google-Taipei-Reviews-EI_IE9079.0,6_IL.7,13_IC3271041.htm",4.4,94%,82%,148,4.6,4.3,4.6,4.3,4.1,3.9,Google Taipei reviews,2026-06-28T14:15:40.751634+00:00,seed,manual-seed,validated
ASUS,"Fremont, CA",Fremont,United States,"https://www.glassdoor.com/Reviews/ASUS-Fremont-Reviews-EI_IE40093.0,4_IL.5,12_IC1147355.htm",3.7,51%,97%,79,3.4,3,2.3,2.7,2.5,3,ASUS Fremont reviews,2026-06-28T14:15:57.379562+00:00,seed,office-location,validated
ASUS,"Markham, ON",Markham,Canada,"https://www.glassdoor.com/Reviews/ASUS-Markham-Reviews-EI_IE40093.0,4_IL.5,12_IC2280736.htm",2,0%,0%,14,1.1,1.6,2.1,1.1,1.3,1.3,ASUS Markham reviews,2026-06-28T14:16:07.295976+00:00,seed,office-location,validated
ASUS,"Barcelona, CT",Barcelona,Spain,"https://www.glassdoor.com/Reviews/ASUS-Barcelona-Reviews-EI_IE40093.0,4_IL.5,14_IC2547194.htm",2.4,33%,0%,5,1.7,2.4,2.3,1.7,2.3,1.7,ASUS Barcelona reviews,2026-06-28T14:16:15.312956+00:00,seed,office-location,validated
ASUS,"Emmen, DR",Emmen,Netherlands,"https://www.glassdoor.com/Reviews/ASUS-Emmen-Reviews-EI_IE40093.0,4_IL.5,10_IC3060162.htm",4.9,99%,99%,5,5,4.8,2.9,4.9,3,4,ASUS Emmen reviews,2026-06-28T14:16:31.440520+00:00,seed,office-location,validated
ASUS,"Hemel Hempstead, ENG",Hemel Hempstead,United Kingdom,"https://www.glassdoor.com/Reviews/ASUS-Hemel-Hempstead-Reviews-EI_IE40093.0,4_IL.5,20_IC2669775.htm",3.9,99%,100%,18,4.7,3,3.3,4.2,3.4,3,ASUS Hemel Hempstead reviews,2026-06-28T14:16:40.749807+00:00,seed,office-location,validated
ASUS,"Milan, LOM",Milan,Italy,"https://www.glassdoor.com/Reviews/ASUS-Milan-Reviews-EI_IE40093.0,4_IL.5,10_IC2802090.htm",3.3,100%,100%,1,3.3,2.4,1.5,2.4,3.3,3.3,ASUS Milan reviews,2026-06-28T14:16:48.289810+00:00,seed,office-location,validated
ASUS,"Noisy-le-Grand, A8",Noisy-le-Grand,France,"https://www.glassdoor.com/Reviews/ASUS-Noisy-le-Grand-Reviews-EI_IE40093.0,4_IL.5,19_IC3100822.htm",2.4,22%,23%,4,2.8,2.2,2.1,2.5,2.1,2.3,ASUS Noisy-le-Grand reviews,2026-06-28T14:16:56.626947+00:00,seed,office-location,validated
ASUS,"Ratingen, NW",Ratingen,Germany,"https://www.glassdoor.com/Reviews/ASUS-Ratingen-Reviews-EI_IE40093.0,4_IL.5,13_IC2584004.htm",4,97%,100%,1,1.4,3,1.6,3,2.3,2.5,ASUS Ratingen reviews,2026-06-28T14:17:09.575054+00:00,seed,office-location,validated
ASUS,"Bangkok, 10",Bangkok,Thailand,"https://www.glassdoor.com/Reviews/ASUS-Bangkok-Reviews-EI_IE40093.0,4_IL.5,12_IC3179725.htm",3.9,79%,100%,8,4.5,3.5,4,3.7,3.1,3.4,ASUS Bangkok reviews,2026-06-28T14:17:17.577816+00:00,seed,office-location,validated
ASUS,"Dubai, DU",Dubai,United Arab Emirates,"https://www.glassdoor.com/Reviews/ASUS-Dubai-Reviews-EI_IE40093.0,4_IL.5,10_IC2204498.htm",2.6,3%,100%,19,2.3,1.9,1.7,2.2,2.3,2.2,ASUS Dubai reviews,2026-06-28T14:17:25.923326+00:00,seed,office-location,validated
ASUS,"Jakarta, JK",Jakarta,Indonesia,"https://www.glassdoor.com/Reviews/ASUS-Jakarta-Reviews-EI_IE40093.0,4_IL.5,12_IC2709872.htm",4,99%,100%,15,4.6,3.6,4.3,4.2,3.8,4,ASUS Jakarta reviews,2026-06-28T14:17:35.706755+00:00,seed,office-location,validated
ASUS,"Kuala Lumpur, 14",Kuala Lumpur,Malaysia,"https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm",5,99%,,6,4.9,4.9,5,4.9,5,4.8,ASUS Kuala Lumpur reviews,2026-06-28T14:17:44.573928+00:00,seed,office-location,validated
ASUS,"Manila, D9",Manila,Philippines,"https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm",4.1,87%,,11,3.9,1.7,4.8,3.9,3.5,3.9,ASUS Manila reviews,2026-06-28T14:17:52.727586+00:00,seed,office-location,validated
ASUS,"Mumbai, MH",Mumbai,India,"https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm",3.3,99%,99%,28,3.4,3.7,3,3.1,3.4,3,ASUS Mumbai reviews,2026-06-28T14:18:00.851744+00:00,seed,office-location,validated
ASUS,"Seoul, 11",Seoul,South Korea,"https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",3,100%,,1,3,4,2,3,4,3,ASUS Seoul reviews,2026-06-28T14:18:10.155583+00:00,seed,office-location,validated
ASUS,Singapore,Singapore,Singapore,"https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm",2.8,37%,44%,50,3.1,2.7,2.7,2.6,2.6,2.3,ASUS Singapore reviews,2026-06-28T14:18:17.305484+00:00,seed,office-location,validated
ASUS,"Taipei, TPQ",Taipei,Taiwan,"https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",3.8,67%,98%,530,3.3,3.8,3.3,3.1,3.5,2.8,ASUS Taipei reviews,2026-06-28T14:18:25.499958+00:00,seed,office-location,validated
ASUS,"Tokyo, 40",Tokyo,Japan,"https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",1,0%,,2,1,1,2,1,1,3,ASUS Tokyo reviews,2026-06-28T14:18:34.354785+00:00,seed,office-location,validated
ASUS,"Santiago, RM",Santiago,Chile,"https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm",5,100%,,1,5,3,3,4,5,4,ASUS Santiago reviews,2026-06-28T14:18:42.685016+00:00,seed,office-location,validated
ASUS,"São Paulo, SP",São Paulo,Brazil,"https://www.glassdoor.com/Reviews/ASUS-S%C3%A3o-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm",3.1,53%,100%,3,3,2.3,3.7,2.3,1.6,2.1,ASUS São Paulo reviews,2026-06-28T14:18:51.958030+00:00,seed,office-location,validated
ASUS,"Sydney, NSW",Sydney,Australia,"https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm",1.2,1%,53%,22,1,1,1,1,1,1,ASUS Sydney reviews,2026-06-28T14:18:59.797369+00:00,seed,office-location,validated
